X,Y,name,num,adress,shcuna,zerem,x_coord,y_coord,semel,level,ganenet,sayaat,רחוב,מספר_בית,icon_url
34.9801421464397,32.0820782481491,סיגליות,1.00000000000,נתן אלתרמן 10 פינת חיים הרצוג,פסגות אפק,ממלכתי,198280.25150300001,665441.98325699999,"620849",ט. חובה,,,נתן אלתרמן,10.000000,./0.png
34.9803793085851,32.0826265154532,אלומות,1.00000000000,נתן אלתרמן 10 פינת חיים הרצוג,פסגות אפק,ממלכתי,198302.76831600000,665502.73408199998,"620856",חובה,,,נתן אלתרמן,10.000000,./0.png
34.9825046220147,32.0861945205366,שסק,1.00000000000,לאה גולדברג 48,פסגות אפק,ממלכתי,198504.23255500000,665897.97546600003,"574418",חובה,,,לאה גולדברג,48.000000,./0.png
34.9826710216212,32.0863490394212,פפאיה,1.00000000000,לאה גולדברג 48,פסגות אפק,ממלכתי,198519.97691500001,665915.07776599994,"574442",ט. חובה,,,לאה גולדברג,48.000000,./0.png
34.9824335190508,32.0857455140439,פטל,1.00000000000,"לאה גולדברג 48
",פסגות אפק,ממלכתי,198497.41754200001,665848.19893399999,"574368",ט. חובה,,,לאה גולדברג,48.000000,./0.png
34.9821528158493,32.0856634311089,אננס,1.00000000000,לאה גודברג פינת זיקו גרציאני,פסגות אפק,ממלכתי,198470.89856500001,665839.15132199996,"574343",חובה,,,לאה גולדברג,48.000000,./0.png
34.980262679041,32.0824026097106,תפוח,1.00000000000,חיים הרצוג 27,פסגות אפק,ממלכתי,198291.70575900000,665477.92805200000,"574376",חובה,,,חיים הרצוג,27.000000,./0.png
34.9808322904472,32.0827178792313,תירוש,1.00000000000,נתן אלתרמן 10,פסגות אפק,ממלכתי,198345.55522600000,665512.77668799995,"620831",ט. חובה,,,נתן אלתרמן,10.000000,./0.png
34.9838342444583,32.0866784001133,אגוז,1.00000000000,נחום גוטמן 2,פסגות אפק,ממלכתי,198629.86673899999,665951.37543599994,"574384",חובה,,,נחום גוטמן,2.000000,./0.png
34.9839903528906,32.0866073806623,אפרסק,1.00000000000,נחום גוטמן 2,פסגות אפק,ממלכתי,198644.58815600001,665943.46996100002,"574350",ט. חובה,,,נחום גוטמן,2.000000,./0.png
34.9839349221287,32.0868153762803,פיסטוק,1.00000000000,יוסי בנאי 2,פסגות אפק,ממ''ד,198639.40231999999,665966.54529799998,"574475",ט. חובה,,,יוסי בנאי,2.000000,./0.png
34.9840892000003,32.0867439161558,מנדרינה,1.00000000000,יוסי בנאי 2,פסגות אפק,ממ''ד,198653.95080699999,665958.59132200002,"574491",חובה,,,יוסי בנאי,2.000000,./0.png
34.9892566506232,32.0800569881258,אוכמנית - ASD תקשורתי,10.00000000000,יואל הנביא (מגרש 514),פסגות אפק,ממלכתי,199140.30777799999,665216.09339399997,"637405",חינוך מיוחד,,,יואל הנביא,7.000000,./0.png
34.9770470668758,32.0884338287991,משמש,1.00000000000,הרב גורן 2,פסגות אפק,ממלכתי,197989.52945199999,666147.36546700005,"574327",ט. חובה,,,הרב גורן,2.000000,./0.png
34.9772542160225,32.0882370737134,תפוז,1.00000000000,הרב גורן 2,פסגות אפק,ממלכתי,198009.03917199999,666125.50607500004,"574400",חובה,,,הרב גורן,2.000000,./0.png
34.9768688983262,32.0882110943039,פרג,1.00000000000,הרב גורן 3,פסגות אפק,ממ''ד,197972.65755800001,666122.70188700000,"636894",ט. חובה,,,הרב גורן,3.000000,./0.png
34.9771791811009,32.0883157944098,רימון,1.00000000000,הרב גורן 2,פסגות אפק,ממלכתי,198001.97396400000,666134.25034000003,"574392",חובה,,,הרב גורן,2.000000,./0.png
34.9371445962105,32.0988459399348,צליל,1.00000000000,המוביל הארצי 11,רמב''ם,ממלכתי,194225.44317000001,667310.60510599997,"419432",ט. חובה,,,המוביל הארצי,11.000000,./0.png
34.9770197132729,32.088073250138,אירוס,10.00000000000,הרב גורן 3,פסגות אפק,ממלכתי,197986.86287400001,666107.38631099998,"574301",חובה,,,אלוף הרב גורן,1.000000,./0.png
34.9454653090994,32.0919052759056,פז- התפתחותי,1.00000000000,ספיר יעקב 12,שבזי,ממלכתי,195009.01391400001,666539.03616899997,"637389",חינוך מיוחד,,,ספיר יעקב,12.000000,./0.png
34.9526859172631,32.0949162245601,סיני,10.00000000000,ג'ון קנדי 34,אביב,תורני,195691.42099799999,666871.30732200004,"523449",חובה,,,ג'ון קנדי,34.000000,./0.png
34.9490252176145,32.1064242730935,ברקן,1.00000000000,נחשול 11,נופרים,ממלכתי,195348.88367200000,668148.25196999998,"620872",ט. חובה,,,נחשול,11.000000,./0.png
34.978364393591,32.0908665930602,חמניה- אנתרופוסופי,1.00000000000,איילון 40,נווה אפק,ממלכתי,198114.45548300000,666416.87357800000,"620864",ט. חובה,,,איילון,40.000000,./0.png
34.9811375891922,32.0831483019992,יהלום,1.00000000000,נתן אלתרמן 10,מתחם האומנים,ממלכתי,198374.47716499999,665560.44656600000,"625590",ט. חובה,,,נתן אלתרמן,10.000000,./0.png
34.9763392462993,32.0856617877814,אודם,1.00000000000,שייקה אופיר 8,מתחם האומנים,ממלכתי,197922.05854699999,665840.11471800006,"625608",ט. חובה,,,שייקה אופיר,8.000000,./0.png
34.9813143457683,32.0830668927226,אלמוג,1.00000000000,נתן אלתרמן 10,מתחם האומנים,ממ''ד,198391.14594799999,665551.38456899999,"625616",ט. חובה,,,נתן אלתרמן,10.000000,./0.png
34.970606404946,32.0891310744132,שוהם,1.00000000000,פול סמואלסון 2,פסגות אפק,ממלכתי,197381.67396900000,666225.98292700003,"625707",חובה,,,פול סמואלסון,2.000000,./0.png
34.9706690838213,32.0892081410531,חלמיש,1.00000000000,פול סמואלסון 2,פסגות אפק,ממלכתי,197387.60956899999,666234.51603199996,"625699",ט. חובה,,,פול סמואלסון,2.000000,./0.png
34.9666970058903,32.0829551424757,לשם,1.00000000000,גרטוד עליון 38,פסגות אפק,ממלכתי,197011.10529300000,665541.93999400001,"625681",חובה,,,גרטוד עליון,38.000000,./0.png
34.9666730946658,32.0830844990442,טורקיז,1.00000000000,גרטוד עליון 38,פסגות אפק,ממלכתי,197008.87945800001,665556.28932300000,"625665",ט. חובה,,,גרטרוד עליון,38.000000,./0.png
34.9630847474706,32.0829339758907,ירדן,1.00000000000,גרטוד עליון 16,פסגות אפק,ממלכתי,196670.06861100000,665540.35001499997,"625673",ט. חובה,,,גרטוד עליון,16.000000,./0.png
34.9630073410311,32.0828321775415,פלג,1.00000000000,גרטוד עליון 16,פסגות אפק,ממלכתי,196662.73544700001,665529.07794200000,"625772",חובה,,,גרטוד עליון,16.000000,./0.png
34.9803248677892,32.0835605225519,נבטים,1.00000000000,עפרה חזה 5,מתחם האומנים,ממלכתי,198297.84371300001,665606.31679199997,"625749",ט. חובה,,,עפרה חזה,5.000000,./0.png
34.9803873074539,32.0836718524542,צנובר,1.00000000000,עפרה חזה 5,מתחם האומנים,ממלכתי,198303.76420500001,665618.64992100000,"625731",ט. חובה,,,עפרה חזה,5.000000,./0.png
34.9803502030333,32.083349773538,לוטוס,1.00000000000,עפרה חזה 5,מתחם האומנים,ממלכתי,198300.18704399999,665582.94186699996,"625723",חובה,,,עפרה חזה,5.000000,./0.png
34.9802115129994,32.0834502175466,חיטה,1.00000000000,עפרה חזה 5,מתחם האומנים,ממלכתי,198287.11660099999,665594.10730599996,"625715",חובה,,,עפרה חזה,5.000000,./0.png
34.9492239249046,32.106640844468,ארגמן,1.00000000000,נחשול 11,נופרים,ממלכתי,195367.69558500001,668172.22326799994,"625764",חובה,,,נחשול,11.000000,./0.png
34.9493688548846,32.1065390159275,משי,1.00000000000,נחשול 11,נופרים,ממלכתי,195381.34811200001,668160.89907900000,"625756",ט. חובה,,,נחשול,11.000000,./0.png
34.9548297121628,32.0881160714742,ורד,1.00000000000,הר המור 4,מצפה אפק,ממ''ד,195892.04426800000,666116.76646399999,"204495",ט. חובה,,,הר המור,4.000000,./0.png
34.9665295206558,32.0829147366035,חושן,1.00000000000,גרטוד עליון 38,פסגות אפק,ממ''ד,196995.28322000001,665537.49424100004,"625657",חובה,,,גרטוד עליון,38.000000,./0.png
34.966504534382,32.0830510948105,אופיר,1.00000000000,גרטוד עליון 38,פסגות אפק,ממ''ד,196992.95762400000,665552.62020899996,"625624",ט. חובה,,,גרטרוד עליון,38.000000,./0.png
34.9401198552888,32.0988976282146,גלבוע,1.00000000000,התנאים 8,רמב''ם,תורני,194506.30151100000,667315.64461500000,"423079",חובה,,,גלוסקא,4.000000,./0.png
34.9667364915189,32.0828254973567,חורש- התפתחותי,1.00000000000,גרטרוד עליון 38,פסגות אפק,ממלכתי,197014.80143600001,665527.55542899994,"621623",חינוך מיוחד,,,גרטוד עליון,38.000000,./0.png
34.9634199324793,32.0827956399256,שקמה- התפתחותי,1.00000000000,גרטרוד עליון 16,פסגות אפק,ממלכתי,196701.67899300001,665524.93919399998,"578096",חינוך מיוחד,,,גרטרוד עליון,16.000000,./0.png
34.9665623611105,32.0827924305605,דגן- התפתחותי,1.00000000000,"גרטרוד עליון 38
",רמב''ם,ממלכתי,196998.35376900001,665523.92488399998,"621631",חינוך מיוחד,,,גרטרוד עליון,38.000000,./0.png
34.9697254143385,32.0837185941701,"צפצפה- התפתחותי
",1.00000000000,גרטי קורי 17א,פסגות אפק,ממלכתי,197297.19989700001,665625.97317300003,"628602",חינוך מיוחד,,,גרטי קורי,19.000000,./0.png
